109			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105
		نوع وند تصریفی	اعداد ترتیبی	اعداد ترتیبی	پی بست ماضی نقلی ساز#	پی بست ماضی نقلی ساز#	پی بست ماضی نقلی ساز#	پی بست ماضی نقلی ساز#	پی بست ماضی نقلی ساز#	پی بست ماضی نقلی ساز#	صفت تفضیلی	صفت تفضیلی	ضمیر مفعولی#	ضمیر مفعولی#	ضمیر مفعولی#	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر مفعولی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	ضمیر ملکی	علامت جمع	علامت جمع	علامت جمع	علامت جمع	علامت جمع	علامت جمع	علامت جمع	علامت جمع	نکره	نکره # صفت	نکره # عدد	نکره	نکره صفت	نکره عدد	نکره	نکره صفت	نکره عدد	واژه بست ربطی مفرد	واژه بست ربطی مفرد	واژه بست ربطی	واژه بست ربطی مفرد	واژه بست ربطی جمع	واژه بست ربطی جمع	واژه بست ربطی مفرد	واژه بست ربطی مفرد	واژه بست ربطی جمع	واژه بست ربطی مفرد	واژه بست ربطی جمع	واژه بست ربطی (مفرد)	واژه بست ربطی(جمع)	واژه بست ربطی	واژه بست ربطی	واژه بست ربطی	واژه بست ربطی	ی واژه بست اضافی اسم	کسره اضافه اسم	ی واژه بست اضافی صفت	کسره اضافه صفت	ی واژه بست اضافی عدد	کسره اضافه عدد	ی واژه بست اضافی قید	کسره اضافه قید	فعل	اسم	صفت	قید	صوت	شبه جمله	عدد	ممیز	شاخص	ضمیر (منفصل)	حرف اضافه	حرف ربط	حرف اضافه پسین	وند عدد ترتیبی	ZWNJ	ماضی بعید	ماضی بعید	ماضی بعید	ماضی بعید	ماضی بعید	ماضی بعید	Past Participle	Comparative قید	Determiner
	نوع وند تصریفی	 وند تصریفی	م	مین	است	ام	اند	ای	اید	ایم	تر	ترین	ات	اش	ام	ت	تان	ش	شان	م	مان	یت	یتان	یش	یشان	یم	یمان	ات	اش	ام	ت	تان	ش	شان	م	مان	یت	یتان	یش	یشان	یم	یمان	ات	ان	جات	ون	ها	یات	یان	ین	ای	ای	ای	ی	ی	ی	یی	یی	یی	است	ام	اند	ای	اید	ایم	ست	م	ند	ی	ید	یم	یم جمع	یند	یی	یید	ییم	ی		ی		ی		ی														را	می		بودم	بودی	بود	بودیم	بودید	بودند		تر	
0	اعداد ترتیبی	م	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	اعداد ترتیبی	مین	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	پی بست ماضی نقلی ساز	است	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3	پی بست ماضی نقلی ساز	ام	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	پی بست ماضی نقلی ساز	اند	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	پی بست ماضی نقلی ساز	ای	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6	پی بست ماضی نقلی ساز	اید	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7	پی بست ماضی نقلی ساز	ایم	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
8	صفت تفضیلی	تر	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9	صفت تفضیلی	ترین	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
